Country,LAW,"Reproduction + Sharing (all users, all works, some still prohibit commercial uses) (GREEN)","Reproduction, no User Restriction (no sharing) (may be limited to non-commercial) BLUE","Private / Non-commercial + Individual Reproduction Whole Works (Non-commercial, individual, no sharing) (LIGHT BLUE)","Restrictions on User: Institutional Right to Make Research Copies of Full Works
[PURPLE]","Limitations on works, e.g. not whole books, limited to types of works (Orange)",TDM Restricted (Excerpts only) (RED)
Taiwan,COPYRIGHT ACT https://law.moj.gov.tw/ENG/LawClass/LawAll.aspx?pcode=J0070017,"Art 65 - Fair use of a work shall not constitute infringement on economic rights in the work. In determining whether the exploitation of a work complies with the reasonable scope referred to in the provisions of Articles 44 through 63, or other conditions of fair use, all circumstances shall be taken into account, and in particular the following facts shall be noted as the basis for determination:
1. The purposes and nature of the exploitation, including whether such exploitation is of a commercial nature or is for nonprofit educational purposes. 2. The nature of the work. 3. The amount and substantiality of the portion exploited in relation to the work as a whole. 4. Effect of the exploitation on the work's current and potential market value.
Where the copyright owner organization and the exploiter organization have formed an agreement on the scope of the fair use of a work, it may be taken as reference in the determination referred to in the preceding paragraph. In the course of forming an agreement referred to in the preceding paragraph, advice may be sought from the specialized agency in charge of copyright matters.",,,,,
Tajikistan,LAW OF THE REPUBLIC OF TAJIKISTAN ON COPYRIGHT AND RELATED RIGHTS (AS AMENDED UP TO 2009) https://wipolex.wipo.int/en/text/237350,,,,,"Art 19 - Reproduction of other authors’ lawfully published works without consent of the author or other copyright possessor without payment of royalty for personal purposes shall be allowed given that no damage is caused to normal exploitation of the work and legal interests of the author are not violated, except as provided by the Article 39 of this Law.
Provision of this Article shall not apply in the following cases: 1) reproduction of the architectural works in the form of buildings and analogous structures; 2) reproduction of database or its material parts; 3) reproduction of computer software, with the exception of cases stipulated in the Article 24 of this Law; 4) reproduction of books (full reproduction) and musical notation; 5) any unauthorized reproduction communicated to public for interactive use",
Thailand,COPYRIGHT ACT B.E. 2537 (1994) (AS AMENDED UP TO COPYRIGHT ACT B.E. 2561 (2018))https://wipolex.wipo.int/en/legislation/details/19877,"Sec. 32 An act against a copyright work under this Act of another person which does not conflict with normal exploitation of the copyright work by the owner of copyright and does not unreasonably prejudice the legitimate rights of the owner of copyright shall not be deemed an infringement of copyright. Subject to the provision in the first paragraph, the following acts in relation to a copyright work shall not be deemed an infringement of copyright: (1) research or study of the work which is not for profit;
",,,,,
Timor-Leste,,,,,,,
Togo,"Law No. 91-12 of June 10, 1991, on the Protection of Copyright, Folklore and Related Rights https://wipolex.wipo.int/en/text/270260",,,,,"Art 20 When the work has been lawfully made accessible to the public, the author may not prevent it from being used as follows: ...2. Reproduction, translations and adaptations, designed for strictly personal and private use

Bangui Agreement (art. 11)
UPDATE: Article 10
Free reproduction for private purposes
(1)Notwithstanding the provisions of Article 8, and subject to those of paragraph 2 of 
this article, it shall be permitted to reproduce a lawfully published work exclusively 
for the private use of the user without the consent of the author and without 
payment of remuneration.
(2)Paragraph (1) shall not apply to the following:
(i) the reproduction of works of architecture in the form of buildings or 
other similar constructions;
(ii) the reprographic reproduction of an entire book, works of fine art, 
or a graphical presentation of musical works, and exercise manuals 
and other publications used once only;
(iii) the reproduction of the whole or of significant parts of databases;
(iv) the reproduction of computer programs, except in the cases 
provided for in Article 17;
(v) copies of software other than the backup copy; and
(vi) any other reproduction of a work that would prejudice the normal 
exploitation of the work or would cause unwarranted prejudice to 
the legitimate interests of the author.",
Tonga,Copyright Act (Act No. 12 of 2002) https://wipolex.wipo.int/en/text/173176,,,,,"Art 8 - (1) Notwithstanding the provisions of section 6(1)(a), and subject to the provisions of subsection (2), the private reproduction of a published work in a single copy shall be permitted without the authorisation of the author or owner of copyright, where the reproduction is made by a person exclusively for his own personal purposes.
(2) The permission under subsection (1) shall not extend to reproduction— (a) of a work of architecture in the form of building or other construction; (b) in the form of reprography of the whole or a substantial part of a book or of a musical work in the form of notation; (c) of the whole or a substantial part of a database in digital form; (d) of a computer program, except as provided in section 14; or (e) of any work in cases where reproduction would conflict with a normal exploitation of the work or would otherwise unreasonably prejudice the legitimate interests of the author or other owner of the copyright. ",
Trinidad and Tobago,"Copyright Act (Act No. 8 of 1997, as amended up to Act No. 5 of 2008) https://wipolex.wipo.int/en/legislation/details/6639",,,,,"Art 9. (1) Notwithstanding the provisions of section 8(1)(a) and subject to the provisions of subsection (2) the private reproduction of a published work in a single copy shall be permitted without the authorisation of the owner of copyright, where the reproduction is made by a natural person exclusively for his own personal purposes.
(2) The permission under subsection (1) shall not extend to reproduction— (a) of a work of architecture in the form of a building or other construction; (b) in the form of reprography of the whole or a substantial part of a book or of a musical work in the form of notation; (c) of the whole or a substantial part of a database; (d) of a computer program, except as provided in section 14; or (e) of any work in cases where reproduction would conflict with a normal exploitation of the work or would otherwise unreasonably prejudice the legitimate interests of the owner of copyright.",
Tunisia,"LAW NO. 94-36 OF FEBRUARY 24, 1994, ON LITERARY AND ARTISTIC PROPERTY (AS AMENDED AND COMPLETED BY LAW NO. 2009-33 OF JUNE 23, 2009)https://wipolex.wipo.int/en/legislation/details/21148",,,,,"10. The author of a work that is lawfully made available to the public may not prevent: ...(b) reproductions, translations and adaptations intended for strictly personal and private use. However, the organizers of theatrical performances, whether free of charge or against payment, shall be required to inform beforehand either the author, his successors in title or the Copyright Protection Agency. ",
Turkey,"LAW NO. 5846 OF DECEMBER 5, 1951, ON INTELLECTUAL AND ARTISTIC WORKS (AS AMENDED UP TO LAW NO. 6552 OF SEPTEMBER 10, 2014) https://wipolex.wipo.int/en/legislation/details/17020",,,"Art 38. It is permitted to reproduce all intellectual and artistic works for personal use without pursuing profit. However, such reproduction may not prejudice the legitimate interests of rightholders without good reason or conflict with the normal exploitation of the work.
",,,
Turkmenistan,"LAW OF TURKMENISTAN NO. 257-IV OF JANUARY 10, 2012, ON COPYRIGHT AND RELATED RIGHTS (AS AMENDED BY LAW NO. 668-V OF NOVEMBER 25, 2017) https://wipolex.wipo.int/en/legislation/details/20204",,,,,"Article 18. Reproduction for personal purposes 

1. It is allowed, without the consent of the author or other owner of copyright and without payment of royalties, to reproduce in a single copy a legally published work by an individual solely for personal purposes without receiving income. 

2. Part one of this article does not apply to: 

1) reproduction of works of architecture in the form of buildings and similar structures; 

2) reproduction of databases or their essential parts; 

3) reproduction of computer programs, except for the cases provided for in Article 21 of this Law; 

4) reprographic reproduction of books (in full), musical texts and original works of fine art.",
Tuvalu,"COPYRIGHT ACT (CHAPTER 40.24, REVISED EDITION 2008) https://wipolex.wipo.int/en/text/463320 
","Art. 29(1) - (1) Fair dealing with a work for the purposes of research for a non-commercial purpose does not infringe any copyright in the work provided that it is accompanied by a sufficient acknowledgement. 
(1B) No acknowledgement is required in connection with fair dealing for the purposes mentioned in subsection (1) where this would be impossible for reasons of practicality or otherwise.",,,,,
Uganda,"The Copyright and Neighbouring Rights Act, 2006 https://wipolex.wipo.int/en/text/141975",,,"Art 15(1) The fair use of a protected work in its original language or in a translation shall not be an infringement of the right of the author and shall not require the consent of the owner of the copyright where— (a) the production, translation, adaptation, arrangement or other transformation of the work is for private personal use only",,,
Ukraine,LAW OF UKRAINE N 3792-XII DATED 23.12.1993 ON COPYRIGHT AND RELATED RIGHTS (AS AMENDED UNTIL 26.04.2017) https://wipolex.wipo.int/en/text/438250,,,,,"Art 25. 1. It is allowed without the permission of the author (or other person who has copyright) and without payment of royalties to reproduce exclusively for personal purposes or for the family circle previously lawfully published works, except: a) works of architecture in the form of buildings and structures; b) computer programs, except in cases provided article 24 of this Law; c) reprographic reproduction of books, musical texts and original works of fine art, except for the cases provided for in Articles 22 and 23 of this Law;",
United Arab Emirates,"FEDERAL LAW NO. 7 OF 2002 ON COPYRIGHTS AND NEIGHBORING RIGHTS (AS AMENDED BY LAW NO. 32 OF 2006) https://wipolex.wipo.int/en/legislation/details/21152 


Last amendment was in 2022",,,,,"Art. 22 - Rights of third parties after publication of the work 
Without prejudice to the author’s moral rights stipulated in this law, the author, after publishing his work, may not prevent others from performing any of the following acts:[...] 1- Make a single copy of the work, for the use of a purely personal, non-profit or professional copyist, with the exception of works of fine or applied arts unless they are placed in a public place, and with the consent of the right holder or his successor, as well as works of architecture, except in accordance with what is stated in the item 7 of this Article, and computer programs, applications and databases are excluded except in accordance with what is indicated in Clause 2 of this Article 
",
United Kingdom,"Copyright, Designs and Patents Act 1988 (Chapter 48) https://wipolex.wipo.int/en/text/127295","Art. 29(1) - (1) Fair dealing with a work for the purposes of research for a non-commercial purpose does not infringe any copyright in the work provided that it is accompanied by a sufficient acknowledgement.
(1B) No acknowledgement is required in connection with fair dealing for the purposes mentioned in subsection (1) where this would be impossible for reasons of practicality or otherwise.
",,,,,
United Republic of Tanzania,"THE ZANZIBAR COPYRIGHT ACT, 2003 (ACT NO. 14 OF 2003) https://wipolex.wipo.int/en/text/244968",,,,,"Art 12. (1) Notwithstanding provisions of section 9, the following uses of a protected work, either in the original or in translation, shall be permissible without the authors' consent and the obligation to pay remuneration for the use of the work.
(2) In the case of any work except, computer programs and architectural works, that has been lawfully Published- (a) the production, translation adaptation, arrangement or other transformation of such work exclusively for the user's own personal private use provided that such reproduction does not conflict will normal exploitation of the work and does not unreasonably prejudice the legitimate interest, of the author.
",
United States of America,"COPYRIGHT ACT OF 1976, 17 U.S.C. §§ 101 ET SEQ. (AS AMENDED UP TO THE MARRAKESH TREATY IMPLEMENTATION ACT) https://wipolex.wipo.int/en/legislation/details/19946","17 U.S.C. §?107 Notwithstanding the provisions of sections 106 and 106A, the fair use of a copyrighted work, including such use by reproduction in copies or phonorecords or by any other means specified by that section, for purposes such as criticism, comment, news reporting, teaching (including multiple copies for classroom use), scholarship, or research, is not an infringement of copyright. In determining whether the use made of a work in any particular case is a fair use the factors to be considered shall include— (1)the purpose and character of the use, including whether such use is of a commercial nature or is for nonprofit educational purposes; (2)the nature of the copyrighted work; (3)the amount and substantiality of the portion used in relation to the copyrighted work as a whole; and (4)the effect of the use upon the potential market for or value of the copyrighted work.
The fact that a work is unpublished shall not itself bar a finding of fair use if such finding is made upon consideration of all the above factors.",,,,,
Uruguay,"LAW NO. 9.739 OF DECEMBER 17, 1937, ON COPYRIGHT AND RELATED RIGHTS (AS AMENDED UP TO LAW NO. 19.857 OF DECEMBER 23, 2019) https://wipolex.wipo.int/en/legislation/details/21441",,,,,,"ARTICLE 45 Reproduction is not unlawful: 
1. The publication or broadcast by radio or the press, of works intended for the teaching of extracts, fragments of poetry and separate articles, provided that the author’s name is mentioned therein, excluding the provisions of article 22. 
2. The publication or broadcast by radio or the press, of oral lessons given by teachers, speeches, reports or statements given in deliberating assemblies, in Courts or in public meetings; 
3. News, articles, news reporting or recordings of general interest, provided that their exact version is maintained and the source is mentioned;
4. Transcriptions intended for comments, reviews or polemics; 
….
7. The printing or reproduction, on the account of the author or his successors in title, of the literary works that have been disposed of, provided that one year has elapsed since the notification as provided for in 32; 
….
"
Uzbekistan,"LAW OF THE REPUBLIC OF UZBEKISTAN NO. ZRU-42 OF JULY 20, 2006, ON COPYRIGHT AND RELATED RIGHTS (AS AMENDED UP TO LAW OF THE REPUBLIC OF UZBEKISTAN NO. ZRU-476 OF APRIL 18, 2018). https://wipolex.wipo.int/en/legislation/details/18020",,,,,"Art 25. Reproduction of a published work for personal purposes is allowed without the consent of the author or other copyright holder and without payment of remuneration, with the exception of cases provided for in Article 33 of this Law.
The rules of the first part of this article shall not apply in relation to: reproduction of works of architecture in the form of buildings and structures; reproduction of databases or their essential parts; reproduction of computer programs, except as provided by law; reprographic reproduction of books (in general) and musical texts.
",
Vanuatu,COPYRIGHT AND RELATED RIGHTS ACT NO. 42 OF 2000. https://wipolex.wipo.int/en/legislation/details/10729,"13...
(3) A fair dealing with a work for the purpose of research or study does not constitute an 
infringement of the copyright in the work.",,,,,
Venezuela (Bolivarian Republic of) - yellow,LAW ON COPYRIGHT. https://wipolex.wipo.int/en/legislation/details/3989,,,,"
","Art 44(1). The reproduction in one copy of a printed, sound or audiovisual work, except in the case of a computer program, which shall be governed by subparagraph 5 of this Article, provided that the copy is made for the exclusive personal use of the user, and is made by the interested party with his own means;

Art 44(2). Photomechanical reproduction for exclusive personal use, as by photocopying and microfilm, provided that it is confined to small parts of a protected work or works that are out of print, and without prejudice to the equitable remuneration that the companies, institutions and other organizations offering the service to the public have to pay to the owners of the right of reproduction; any use of the reproduced material for other than personal purposes that is made in competition with the author’s exclusive right to exploit his work shall be deemed equivalent to unlawful reproduction; 

",
Vietnam,"Law No. 50/2005/QH11 of November 29, 2005, on Intellectual Property https://wipolex.wipo.int/en/text/274445",,**,**,,"Art 25(1). Cases of use of published works where permission or payment of royalties and/or remunerations is not required include: a. Duplication of works by authors for scientific research or teaching purpose;...e/ Reprographic reproduction of works by libraries for archival and research purpose; ...3. The use of works in the cases specified in Clause 1 of this Article shall not apply to architectural 
works, plastic works and computer programs. ",
Western Sahara,,,,,,,
Yemen,LAW NO. 15 OF 2012 ON THE PROTECTION OF COPYRIGHT AND RELATED RIGHTS. https://wipolex.wipo.int/en/legislation/details/19994,,,"Art 40. The following actions may take place without the permission of the author or to whom the right has been assigned. 1. Personal use of the work through copying, translating, quotation, or TV viewing provided this use does not violate or harm the legitimate interests of the author. ",,,
Zambia ,"THE COPYRIGHT AND PERFORMANCE RIGHTS ACT, 1994 (ACT NO. 44 OF 1994, AS AMENDED BY ACT NO. 13 OF 1994) https://wipolex.wipo.int/en/legislation/details/21204",,,"Art 21(1) Subject to subsection (2), the following acts shall not constitute infringement of copyright: (a) fair dealing with a work for private study or for the purposes of research done by an individual for his personal purposes, otherwise than for profit;
... (2) An act which— (a) conflicts with the normal commercial exploitation of a work; or (b) unreasonably prejudices the legitimate commercial interests of the owner of the copyright in a work; shall not, for the purposes of subsection (1)— 
(i) be treated as fair dealing with the work;",,,
Zimbabwe ,"COPYRIGHT AND NEIGHBOURING RIGHTS ACT (CHAPTER 26:05, AS AMENDED UP TO ACT NO. 32 OF 2004). https://wipolex.wipo.int/en/legislation/details/8864","Art 24 (1) The copyright in a work shall not be infringed by any fair dealing for the purposes of research or private study by the person using the work. 
(2) Reproducing a work shall not constitute fair dealing for the purposes of subsection (I) if the person who reproduces it knows or has reason to believe that it will result in copies of substantially the same material being provided to more than one person at substantially the same time. 
",,,,,
